name,url,salary,id
Python developer (middle/senior) удаленно,https://hh.ru/vacancy/77321723,,77321723
Ассистент Департамента анализа данных и машинного обучения,https://hh.ru/vacancy/77409459,75130,77409459
Python-разработчик,https://hh.ru/vacancy/53864420,,53864420
Начальник отдела / Team Lead Python,https://hh.ru/vacancy/78308501,,78308501
Senior Python разработчик,https://hh.ru/vacancy/78771199,,78771199
Team Lead Python,https://hh.ru/vacancy/78672641,350000,78672641
Data Engineer (аналитик больших данных),https://hh.ru/vacancy/78052551,,78052551
Fullstack developer Python-JS / Фулстек-Разработчик,https://hh.ru/vacancy/72731847,,72731847
Преподаватель по программированию в онлайн-школе (Python в Minecraft),https://hh.ru/vacancy/76843216,300,76843216
Инженер-разработчик Python в группу веб-аналитики,https://hh.ru/vacancy/78056962,,78056962
Преподаватель вебинаров курса Python,https://hh.ru/vacancy/78737780,57000,78737780
Инженер инфраструктуры / DevOps / SRE,https://hh.ru/vacancy/77850294,200000,77850294
Middle+/Senior ML Engineer Antifraud,https://hh.ru/vacancy/77890331,,77890331
"Backend программист Python (middle, senior)",https://hh.ru/vacancy/77942886,,77942886
Программист Python,https://hh.ru/vacancy/78577726,,78577726
Продуктовый аналитик,https://hh.ru/vacancy/78192324,150000,78192324
Python-разработчик (Рекомендательная система),https://hh.ru/vacancy/77980117,,77980117
Разработчик python (Senior/Lead),https://hh.ru/vacancy/78468252,,78468252
Senior/Middle Python разработчик,https://hh.ru/vacancy/78079115,,78079115
Senior Python Developer,https://hh.ru/vacancy/78000628,250000,78000628
Автор курсов по Python,https://hh.ru/vacancy/72748475,,72748475
Старший разработчик Perl,https://hh.ru/vacancy/78250338,200000,78250338
Middle/Senior Python разработчик,https://hh.ru/vacancy/76287050,225000,76287050
Team Lead backend/Python (remote),https://hh.ru/vacancy/77863353,,77863353
DevSecOps,https://hh.ru/vacancy/78090391,,78090391
Python-разработчик,https://hh.ru/vacancy/76143760,,76143760
Преподаватель онлайн-курсов Python / Scratch / Геймдизайн для детей (групповые занятия),https://hh.ru/vacancy/78909742,,78909742
Автор курса по разработке (Java/Python),https://hh.ru/vacancy/78788758,,78788758
